fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2025-07-07,Facebook,,0,,0,,,,0,
2025-07-08,Facebook,,0,,0,,,,0,
2025-07-09,Facebook,,0,,0,,,,0,
2025-07-10,Facebook,,0,,0,,,,0,
2025-07-11,Facebook,,0,,0,,,,0,
2025-07-12,Facebook,,0,,0,,,,0,
2025-07-13,Facebook,,0,,0,,,,0,
2025-07-14,Facebook,,0,,0,,,,0,
2025-07-15,Facebook,,0,,0,,,,0,
2025-07-16,Facebook,,0,,0,,,,0,
2025-07-17,Facebook,,0,,0,,,,0,
2025-07-18,Facebook,,0,,0,,,,0,
2025-07-19,Facebook,,0,,0,,,,0,
2025-07-20,Facebook,,0,,0,,,,0,
2025-07-21,Facebook,,0,,0,,,,0,
2025-07-22,Facebook,,0,,0,,,,0,
2025-07-23,Facebook,,0,,0,,,,0,
2025-07-24,Facebook,,0,,0,,,,0,
2025-07-25,Facebook,,0,,0,,,,0,
2025-07-26,Facebook,,0,,0,,,,0,
2025-07-27,Facebook,,0,,0,,,,0,
2025-07-28,Facebook,,0,,0,,,,0,
2025-07-29,Facebook,,0,,0,,,,0,
2025-07-30,Facebook,,0,,0,,,,0,
2025-07-31,Facebook,,0,,0,,,,0,
2025-08-01,Facebook,,0,,0,,,,0,
2025-08-02,Facebook,,0,,0,,,,0,
2025-08-03,Facebook,,0,,0,,,,0,
2025-08-05,Facebook,,0,,0,,,,0,
2025-08-06,Facebook,,0,,0,,,,0,
2025-08-07,Facebook,,0,,0,,,,0,
2025-08-08,Facebook,,0,,0,,,,0,
2025-08-09,Facebook,,0,,0,,,,0,
2025-08-10,Facebook,,0,,0,,,,0,
2025-08-11,Facebook,,0,,0,,,,0,
2025-08-12,Facebook,,0,,0,,,,0,
2025-08-13,Facebook,,0,,0,,,,0,
2025-08-14,Facebook,,0,,0,,,,0,
2025-08-15,Facebook,,0,,0,,,,0,
2025-08-16,Facebook,,0,,0,,,,0,
2025-08-17,Facebook,,0,,0,,,,0,
2025-08-18,Facebook,,0,,0,,,,0,
2025-08-19,Facebook,,0,,0,,,,0,
2025-08-20,Facebook,,0,,0,,,,0,
2025-08-21,Facebook,,0,,0,,,,0,
2025-08-22,Facebook,,0,,0,,,,0,
2025-08-23,Facebook,,0,,0,,,,0,
2025-08-24,Facebook,,0,,0,,,,0,
2025-08-25,Facebook,,0,,0,,,,0,
2025-08-26,Facebook,,0,,0,,,,0,
2025-08-27,Facebook,,0,,0,,,,0,
2025-08-28,Facebook,,0,,0,,,,0,
2025-08-29,Facebook,,0,,0,,,,0,
2025-08-30,Facebook,,0,,0,,,,0,
2025-08-31,Facebook,,0,,0,,,,0,
2025-09-01,Facebook,,0,,0,,,,0,
2025-09-02,Facebook,,0,,0,,,,0,
2025-09-04,Facebook,,0,,0,,,,0,
2025-09-05,Facebook,,0,,0,,,,0,
2025-09-06,Facebook,,0,,0,,,,0,
2025-09-07,Facebook,,0,,0,,,,0,
2025-09-08,Facebook,,0,,0,,,,0,
2025-09-09,Facebook,,0,,0,,,,0,
2025-09-10,Facebook,,0,,0,,,,0,
2025-09-11,Facebook,,0,,0,,,,0,
2025-09-12,Facebook,,0,,0,,,,0,
2025-09-13,Facebook,,0,,0,,,,0,
2025-09-14,Facebook,,0,,0,,,,0,
2025-09-15,Facebook,,0,,0,,,,0,
2025-09-16,Facebook,,0,,0,,,,0,
2025-09-17,Facebook,,0,,0,,,,0,
2025-09-18,Facebook,,0,,0,,,,0,
2025-09-19,Facebook,,0,,0,,,,0,
2025-09-20,Facebook,,0,,0,,,,0,
2025-09-21,Facebook,,0,,0,,,,0,
2025-09-22,Facebook,,0,,0,,,,0,
2025-09-23,Facebook,,0,,0,,,,0,
2025-09-24,Facebook,,0,,0,,,,0,
2025-09-25,Facebook,,0,,0,,,,0,
2025-09-26,Facebook,,0,,0,,,,0,
2025-09-27,Facebook,,0,,0,,,,0,
2025-09-28,Facebook,,0,,0,,,,0,
2025-09-29,Facebook,,0,,0,,,,0,
2025-09-30,Facebook,,0,,0,,,,0,
2025-10-01,Facebook,,0,,0,,,,0,
2025-10-02,Facebook,,0,,0,,,,0,
2025-10-04,Facebook,,0,,0,,,,0,
2025-10-05,Facebook,,0,,0,,,,0,
2025-10-06,Facebook,,0,,0,,,,0,
2025-10-07,Facebook,,0,,0,,,,0,
2025-10-08,Facebook,,0,,0,,,,0,
2025-10-09,Facebook,,0,,0,,,,0,
2025-10-10,Facebook,,0,,0,,,,0,
2025-10-11,Facebook,,0,,0,,,,0,
2025-10-12,Facebook,,0,,0,,,,0,
2025-10-13,Facebook,,0,,0,,,,0,
2025-10-14,Facebook,,0,,0,,,,0,
2025-10-15,Facebook,,0,,0,,,,0,
2025-10-16,Facebook,,0,,0,,,,0,
2025-10-17,Facebook,,0,,0,,,,0,
2025-10-18,Facebook,,0,,0,,,,0,
2025-10-19,Facebook,,0,,0,,,,0,
2025-10-20,Facebook,,0,,0,,,,0,
2025-10-21,Facebook,,0,,0,,,,0,
2025-10-22,Facebook,,0,,0,,,,0,
2025-10-23,Facebook,,0,,0,,,,0,
2025-10-24,Facebook,,0,,0,,,,0,
2025-10-25,Facebook,,0,,0,,,,0,
2025-10-26,Facebook,,0,,0,,,,0,
2025-10-27,Facebook,,0,,0,,,,0,
2025-10-28,Facebook,,0,,0,,,,0,
2025-10-29,Facebook,,0,,0,,,,0,
2025-10-30,Facebook,,0,,0,,,,0,
2025-10-31,Facebook,,0,,0,,,,0,
2025-11-01,Facebook,,0,,0,,,,0,
2025-11-03,Facebook,,0,,0,,,,0,
2025-11-04,Facebook,,0,,0,,,,0,
2025-11-05,Facebook,,0,,0,,,,0,
2025-11-06,Facebook,,0,,0,,,,0,
2025-11-07,Facebook,,0,,0,,,,0,
2025-11-08,Facebook,,0,,0,,,,0,
2025-11-09,Facebook,,0,,0,,,,0,
2025-11-10,Facebook,,0,,0,,,,0,
2025-11-11,Facebook,,0,,0,,,,0,
2025-11-12,Facebook,,0,,0,,,,0,
2025-11-13,Facebook,,0,,0,,,,0,
2025-11-14,Facebook,,0,,0,,,,0,
2025-11-15,Facebook,,0,,0,,,,0,
2025-11-16,Facebook,,0,,0,,,,0,
2025-11-17,Facebook,,0,,0,,,,0,
2025-11-18,Facebook,,0,,0,,,,0,
2025-11-19,Facebook,,0,,0,,,,0,
2025-11-20,Facebook,,0,,0,,,,0,
2025-11-21,Facebook,,0,,0,,,,0,
2025-11-22,Facebook,,0,,0,,,,0,
2025-11-23,Facebook,,0,,0,,,,0,
2025-11-24,Facebook,,0,,0,,,,0,
2025-11-25,Facebook,,0,,0,,,,0,
2025-11-26,Facebook,,0,,0,,,,0,
